year,source_year,source_series,oecd_value,value,series,unit,method,difference_pp
1980,1980,Sub-Sahara Africa,32.1,32.1,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,Sub-Sahara Africa,45.2,45.2,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,Sub-Sahara Africa,58.4,58.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,Sub-Sahara Africa,65.4,65.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,World,23.9,23.9,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,World,26.7,26.7,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,World,29.6,29.6,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,World,33.2,33.2,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,World,35.6,35.6,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,World,38.6,38.6,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,World,40.9,40.9,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,World,45.9,45.9,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,World,49.0,49.0,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,World,53.7,53.7,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,World,60.9,60.9,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,World,63.0,63.0,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,World,71.1,71.1,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,World,78.5,78.5,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,World,81.5,81.5,World,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
