Entity,Year,under5_mortality_per_1000,under5_mortality_percent
Ethiopia,1929,420.03,42.003
Ethiopia,1930,418.98,41.898
Ethiopia,1931,417.92,41.792
Ethiopia,1932,416.87,41.687
Ethiopia,1933,415.82,41.582
Ethiopia,1934,414.77,41.477
Ethiopia,1935,413.72,41.372
Ethiopia,1936,412.67,41.267
Ethiopia,1937,411.62,41.162
Ethiopia,1938,410.57,41.057
Ethiopia,1939,409.52,40.952
Ethiopia,1940,408.47,40.847
Ethiopia,1941,407.41,40.741
Ethiopia,1942,406.36,40.636
Ethiopia,1943,405.31,40.531
Ethiopia,1944,404.26,40.426
Ethiopia,1945,403.21,40.321
Ethiopia,1946,393.7,39.37
Ethiopia,1947,384.34,38.434
Ethiopia,1948,374.03,37.403
Ethiopia,1949,365.07,36.507
Ethiopia,1950,356.25,35.625
Ethiopia,1951,353.1,35.31
Ethiopia,1952,348.86,34.886
Ethiopia,1953,343.13,34.313
Ethiopia,1954,335.97,33.597
Ethiopia,1955,328.47,32.847
Ethiopia,1956,319.64,31.964
Ethiopia,1966,241.1,24.11
Ethiopia,1967,240.9,24.09
Ethiopia,1968,240.5,24.05
Ethiopia,1969,240.6,24.06
Ethiopia,1970,240.4,24.04
Ethiopia,1971,240.2,24.02
Ethiopia,1972,240.1,24.009999999999998
Ethiopia,1973,240.1,24.009999999999998
Ethiopia,1974,240.3,24.03
Ethiopia,1975,240.6,24.06
Ethiopia,1976,241.5,24.15
Ethiopia,1977,242.2,24.22
Ethiopia,1978,242.6,24.259999999999998
Ethiopia,1979,242.3,24.23
Ethiopia,1980,241.3,24.130000000000003
Ethiopia,1981,239.1,23.91
Ethiopia,1982,235.8,23.580000000000002
Ethiopia,1983,231.8,23.18
Ethiopia,1984,227.3,22.73
Ethiopia,1985,223.0,22.3
Ethiopia,1986,219.2,21.919999999999998
Ethiopia,1987,215.7,21.57
Ethiopia,1988,212.3,21.23
Ethiopia,1989,208.8,20.880000000000003
Ethiopia,1990,205.0,20.5
Ethiopia,1991,200.6,20.06
Ethiopia,1992,195.5,19.55
Ethiopia,1993,189.2,18.919999999999998
Ethiopia,1994,182.3,18.23
Ethiopia,1995,175.3,17.53
Ethiopia,1996,168.4,16.84
Ethiopia,1997,161.9,16.19
Ethiopia,1998,156.3,15.63
Ethiopia,1999,151.1,15.11
Ethiopia,2000,145.5,14.55
Ethiopia,2001,139.6,13.959999999999999
Ethiopia,2002,132.8,13.280000000000001
Ethiopia,2003,125.4,12.540000000000001
Ethiopia,2004,117.6,11.76
Ethiopia,2005,109.5,10.95
Ethiopia,2006,101.5,10.15
Ethiopia,2007,94.0,9.4
Ethiopia,2008,87.0,8.7
Ethiopia,2009,80.8,8.08
Ethiopia,2010,75.6,7.56
Ethiopia,2011,71.3,7.13
Ethiopia,2012,67.6,6.76
Ethiopia,2013,64.4,6.44
South Korea,1800,503.36,50.336
South Korea,1801,503.36,50.336
South Korea,1802,503.36,50.336
South Korea,1803,503.36,50.336
South Korea,1804,503.36,50.336
South Korea,1805,503.36,50.336
South Korea,1806,503.36,50.336
South Korea,1807,503.36,50.336
South Korea,1808,503.36,50.336
South Korea,1809,503.36,50.336
South Korea,1810,503.36,50.336
South Korea,1811,503.36,50.336
South Korea,1812,503.36,50.336
South Korea,1813,503.36,50.336
South Korea,1814,503.36,50.336
South Korea,1815,503.36,50.336
South Korea,1816,503.36,50.336
South Korea,1817,503.36,50.336
South Korea,1818,503.36,50.336
South Korea,1819,503.36,50.336
South Korea,1820,503.36,50.336
South Korea,1821,503.36,50.336
South Korea,1822,503.36,50.336
South Korea,1823,503.36,50.336
South Korea,1824,503.36,50.336
South Korea,1825,503.36,50.336
South Korea,1826,503.36,50.336
South Korea,1827,503.36,50.336
South Korea,1828,503.36,50.336
South Korea,1829,503.36,50.336
South Korea,1830,503.36,50.336
South Korea,1831,503.36,50.336
South Korea,1832,503.36,50.336
South Korea,1833,503.36,50.336
South Korea,1834,503.36,50.336
South Korea,1835,503.36,50.336
South Korea,1836,503.36,50.336
South Korea,1837,503.36,50.336
South Korea,1838,503.36,50.336
South Korea,1839,503.36,50.336
South Korea,1840,503.36,50.336
South Korea,1841,503.36,50.336
South Korea,1842,503.36,50.336
South Korea,1843,503.36,50.336
South Korea,1844,503.36,50.336
South Korea,1845,503.36,50.336
South Korea,1846,503.36,50.336
South Korea,1847,503.36,50.336
South Korea,1848,503.36,50.336
South Korea,1849,503.36,50.336
South Korea,1850,503.36,50.336
South Korea,1851,503.36,50.336
South Korea,1852,503.36,50.336
South Korea,1853,503.36,50.336
South Korea,1854,503.36,50.336
South Korea,1855,503.36,50.336
South Korea,1856,503.36,50.336
South Korea,1857,503.36,50.336
South Korea,1858,503.36,50.336
South Korea,1859,503.36,50.336
South Korea,1860,503.36,50.336
South Korea,1861,503.36,50.336
South Korea,1862,503.36,50.336
South Korea,1863,503.36,50.336
South Korea,1864,503.36,50.336
South Korea,1865,503.36,50.336
South Korea,1866,503.36,50.336
South Korea,1867,503.36,50.336
South Korea,1868,503.36,50.336
South Korea,1869,503.36,50.336
South Korea,1870,503.36,50.336
South Korea,1871,503.36,50.336
South Korea,1872,503.36,50.336
South Korea,1873,503.36,50.336
South Korea,1874,503.36,50.336
South Korea,1875,503.36,50.336
